메뉴명,조리방법,요리종류,중량(1인분),열량,탄수화물,단백질,지방,나트륨,해쉬태그,이미지경로(소),이미지경로(대),재료정보,레시피
콩나물부추볶음,볶기,반찬,,133.8,15,3.9,6.4,139.4,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00579_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00579_1.png,"콩나물, 파, 소금, 당근, 감자, 식용유, 부추, 양파","1. 감자는 채를 썰어 물에 담궈 전분을
제거하고, 양파와 당근 파는 채를 썬다. 
2. 콩나물은 머리와 꼬리를 손질한다 
3. 물이 끓으면 손질한 콩나물을 넣는다. 
4. 콩나물이 익으면 체에 건져 찬물에
헹군다. 
5. 부추는 약 6cm 길이로 썬다. 
6. 팬에 기름을 두르고 콩나물을 넣고
살짝 볶다가 썰어 놓은 야채를 넣고
볶으면서 소금 간을 하고 마지막에
부추를 넣고              "
콩비지포카치아 샌드위치,기타,일품,,271.2,36.8,12.9,8,459.2,포카치아빵,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00580_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00580_1.png,"루꼴라, 무장아찌, 콩비지, 생치즈, 올리브오일, 포카치아빵, 토마토","1. 비지는 살짝 데쳐 물기를 뺀다. 
2. 무장아찌는 잘게 다져 비지에 골고루
섞어 소스를 만든다. 
3. 토마토는 슬라이스로 썰어 팬에 오일을
두르고 익힌다. 
4. 포카치아빵은 반으로 갈라 비지소스를
바른다. 
5. 생치즈는 동그랗게 원형으로 찍어,
비지를 바른 빵에 구운 토마토와 함께
올리고, 다시 그 위에 비지를 올려
접시에 담는다. 
6. 루꼴라는 찬물에 담궈 건져 포카치아빵
옆에 함께 놓는다              "
파프리카더덕소고기깻잎롤,굽기,반찬,,230.7,16.9,28.8,5.3,97.8,살치살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00581_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00581_1.png,"아스파라거스, 소금, 파프리카, 깻잎, 후춧가루, 꿀, 소고기, 더덕, 레몬, 식초, 파인애플, 올리브오일, 양파","1. 소고기는 후춧가루, 올리브오일로
밑간을 한다. 
2. 더덕은 칼로 껍질을 돌려 깎고,
파프리카, 아스파라거스와 함께
가늘게 채썬다. 
3. 파인애플, 양파, 당근, 대파는 채썬다. 
4. 밑간한 고기를 팬에 굽는다. 
5. 따로 갈아 놓은 파인애플과 레몬즙
꿀을 섞어 드레싱을 만는다 
6. 구워 놓은 고기에 더덕과 파인애플
아스파라거스 깻잎을 넣어 돌돌 말고,
팬에 발사믹 소스를 끓인 뒤 말아 놓은
소고기롤을 넣어 졸인다.              "
해물아란치니,볶기,반찬,,283.8,41,7.4,10,393.2,샐러리,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00582_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00582_1.png,"밥, 어린잎, 새우, 소금, 마늘, 빵가루, 오징어, 레몬, 샐러리, 달걀, 토마토, 양파","1. 새우는 껍질을 벗겨 다진다. 
2. 오징어는 썰어서 다진다. 
3. 양파, 샐러리, 마늘은 다져 팬에 볶아
식힌다. 
4. 토마토는 껍질을 벗겨 다진다. 
5. 다진 토마토를 팬에 볶다가 다진
새우와 오징어, 밥을 넣어 볶고, 3번을
넣고 볶아 동그랗게 모양을 만든다 
6. 동그란 밥에 레몬을 섞은 달걀노른자를
묻히고 빵가루 옷을 입혀 팬에 기름을
둘러 굴려가며 익힌 후 접시에 담고
어린잎을 올린다.              "
호박잎삼계,찌기,반찬,,314.1,53.7,16,3.9,55.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00583_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00583_1.png,"소금, 미나리, 후춧가루, 대추, 닭고기, 인삼, 찹쌀","1. 닭고기는 넓게 펴 소금, 후추로 밑간을
한다. 
2. 찹쌀은 깨끗이 씻어 밥을 짓는다 
3. 인삼은 뇌두를 제거 하고 깨끗이 씻어
길게 썬다. 
4. 미나리는 데쳐 찬물에 헹구고, 대추는
씨를 제거하고 채를 썬다. 
5. 호박잎은 끓는 물에 데쳐 찬물에
식힌다. 
6. 데친 호박잎에 밑간한 닭고기와
찹쌀밥을 올리고 그 위에 인삼, 데친
미나리, 대추를 올려 돌돌 말아 찜통에
찐 뒤 먹기 좋게 썬다.              "
노른자크림 육회샐러드,기타,반찬,,177.4,10,25.3,4,245.6,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00584_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00584_1.png,"아보카도, 설탕, 소금, 마늘, 참기름, 소고기, 배, 크림치즈, 두릅, 레몬, 달걀","1. 소고기는 홍두깨살로 준비해서

0.3mm 두께로 썰고, 배는 껍질을 벗겨
채 썰어 설탕을 뿌린다. 
2. 끓는 물에 소금을 넣고 두릅을 데친 후
찬물에 헹구어 건진다. 
3. 소금과 설탕, 다진 마늘을 넣고 소고기
육회 양념장을 만든다. 
4. 삶은 달걀노른자와 크림치즈, 레몬을
섞어 짤주머니에 담는다. 
5. 숙성이 잘된 아보카도는 강판에 갈아
준비한다. 
6. 접시에 양념한 육회와 두릅을 담고 그
위에 배를 올리고, 달걀크림과
아보카도를 짜서 올린다              "
닭고기 완자삼계죽,끓이기,일품,,150.4,26.2,9.9,0.7,51.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00585_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00585_1.png,"통후추, 마늘, 대추, 대파, 저염간장, 닭고기, 인삼, 찹쌀, 양파","1. 닭은 깨끗이 씻고 포를 뜬다. 
2. 닭고기는 15분 정도 삶아 식으면 곱게
다져 다진 마늘, 대파, 저염간장을 넣고
완자를 만든다. 
3. 인삼은 뇌두를 제거하고 깨끗이
씻는다. 
4. 찹쌀은 약 30분 정도 충분히 불린다 
5. 대추는 소금물에 깨끗이 씻고 씨를
제거한다. 
6. 믹서에 인삼과 대추, 불린 찹쌀, 물을
정도 넣고 곱게 간 뒤, 냄비에 담아 죽을
쑤다가 다 익으면 만들어 놓은 완자를
넣고 한소끔 더 끓인다.              "
대하마늘볶음밥,볶기,밥,210,286.6,32.5,14,11.2,191.4,대하,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309012647_1678336007930.jpg,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309012700_1678336020850.jpg,"양념, 필수 재료, 파, 깻잎, 당근, 대추, 대하, 마늘, 식용유, 저염간장, 생강, 숙주, 쌀, 청고추, 양파","1. 새우는 내장을 제거하고 껍질을 벗겨 깨끗이 씻는다. 
2. 찜기에 새우와 생강을 넣어 약 5분 정도 찐다. 
3. 마늘은 납작 썰고, 당근과 양파, 파, 깻잎, 청고추, 대추는 굵게 다진다. 
4. 숙주는 꼬리를 떼어 다듬고, 끓는 물에 살짝 데친다. 
5. 팬에 식용유를 두른 뒤 손질한 채소를 넣어 볶는다. 
6. 밥과 새우를 넣어 볶고, 저염간장을 넣어 볶아 마무리한다.              "
두부 카프리제,기타,반찬,,140.2,6.8,11.1,7.6,229.6,발사믹소스,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00587_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00587_1.png,"설탕, 연근, 표고버섯, 소금, 돼지고기, 깻잎, 감자, 마늘, 마, 소고기, 두유, 저염간장, 애호박","1. 토마토는 깨끗이 씻어 슬라이스한다. 
2. 두부는 원형틀을 이용해서 토마토와
같은 크기로 만들고 소금을 살짝 뿌린
뒤 물기를 제거한다. 
3. 팬에 올리브오일을 두르고 두부를 살짝
굽는다. 
4. 어린잎은 찬물에 담근다. 
5. 발사믹소스에 설탕과 레몬즙을 넣고
골고루 섞어 소스를 만든다. 
6. 두부와 준비한 토마토를 접시에 돌려
담고 어린잎을 위에 올린 뒤 먹기
직전에 발사믹소스와 파마산치즈를
뿌려 완성한다.              "
미역볶음밥,볶기,밥,,515.2,25.5,5.85,5.43,488.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00217_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00217_1.png,"재료 쌀, 수삼, 맛술, 당근, 대추, 양념 강황가루, 닭고기, 완두콩, 양파","1. 쌀과 다시마를 넣고 쌀과 동량의
물을 부어 밥을 고슬고슬하게
짓는다. 
2. 양파는 굵게 다지고, 쪽파와 고추는
송송 썰고, 오징어와 주꾸미는 먹기
좋은 크기로 썬다. 
3. 달군 팬에 들기름을 두르고 다진
마늘을 볶아 향을 낸다. 
4. 미역을 넣고 볶다가 손질해둔
오징어, 주꾸미, 새우살, 양파를 넣어
볶는다. 
5. 밥을 넣고 소금을 넣어 볶다가
들깻가루를 넣어 볶는다. 
6. 송송 썬 쪽파와 청양고추, 붉은
고추를 넣어 조금 더 볶아
마무리한다.              "
청국장볶음밥,볶기,밥,,467.9,25.05,4.27,4.9,234.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00218_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00218_1.png,"참나물, 깻잎, 애호박, 양파, 재료 쌀, 시금치, 감자, 마늘, 올리브유, 고구마, 들깻가루, 들기름, 미나리, 현미, 당근, 우엉, 연근, 육수 다시마, 양념 생청국장","1. 쌀과 현미는 물에 깨끗이 씻어 불린
후 밥을 고슬고슬하게 짓는다. 
2. 감자, 고구마, 우엉, 양파, 당근,
애호박, 연근은 작게 깍둑 썰고,
마늘은 편 썬다. 
3. 시금치와 참나물, 깻잎은 굵게 채
썰고, 미나리는 
2.5㎝ 길이로 썬다. 
4. 물(50g)에 다시마를 우려내 육수를
내고 청국장을 넣어 잘 푼 뒤
들깻가루를 넣고 잘 저어주며 졸여
청국장소스를 만든다. 
5. 팬에 올리브유와 들기름을 두르고
양파, 마늘을 약한 불에 볶다가
감자, 고구마, 우엉, 연근, 당근,
애호박을 넣고 같이 볶는다. 
6. 밥과 청국장소스를 부어 80% 정도
볶다가 시금치, 참나물, 미나리를
넣고 한 번 더 볶고 채 썬 깻잎을
올려 마무리한다.              "
해물볶음밥,볶기,밥,,493.2,26.9,7.28,2.99,681.9,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00219_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00219_1.png,"볶음밥 쌀, 새우살, 아스파라거스, 미나리볶음고추장 무, 미나리, 새송이버섯, 주꾸미, 달걀, 우엉, 문어","1. 쌀은 씻어서 체에 건져 1시간 이상
불린 후 동량의 물을 부어 밥을
짓는다. 
2. 아스파라거스, 새송이버섯은 작게
깍둑 썰고, 무와 우엉, 미나리는
다진다. 
3. 식용유(10g)를 두른 팬을 중간 불로
달궈 달걀을 넣고 스크램블로
볶는다. 
4. 문어, 새우살, 주꾸미는 끓는 물에
살짝 데쳐 작게 자른다. 
5. 식용유(15g)를 두른 팬을 중간 불로
달궈 밥을 넣어 볶다가 문어, 새우살,
주꾸미, 스크램블 에그를 넣고 조금
더 볶는다. 
6. 무와 우엉에 고추장과 참기름,
물(40g)을 넣고 묽게 졸인 후 불을
끄고 미나리를 넣고 섞어
미나리볶음고추장을 만들어 밥에
곁들여 마무리한다.              "
토마토카레 채소볶음밥,끓이기,밥,,612.1,24.5,3.52,4.46,435.2,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00220_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00220_1.png,"브로콜리, 재료 감자, 파프리카가루, 밥, 플레인 요구르트, 토마토페이스트, 당근, 방울토마토, 카레가루, 피망, 양념 후춧가루, 닭가슴살, 양파","1. 감자, 양파, 당근, 피망은 볶음밥에
넣을 분량은 잘게 다지고, 카레에
넣을 분량은 한입 크기로 썬다. 
2. 닭가슴살도 한입 크기로 잘라
후춧가루로 밑간한다. 
3. 팬에 식용유(15g)를 두른 뒤 잘게
다진 감자, 양파, 당근, 피망을 넣고
볶다가 밥을 넣고 같이 볶는다. 
4. 식용유(15g)를 두른 팬에 닭고기를
먼저 볶다가 한입 크기로 썬 감자,
당근, 양파, 피망, 브로콜리를 넣고
볶은 뒤 마지막에 방울토마토를
넣는다. 
5. 토마토페이스트을 넣고 볶다가
파프리카가루를 넣어 향을 낸다. 
6. 카레가루를 푼 물(300g)을 부어
끓이다가 플레인 요구르트를 넣고
농도를 맞춘 뒤 밥 위에 얹어
마무리한다.              "
구운주먹밥,굽기,밥,,335.1,35.43,5.79,6.84,79.4,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00221_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00221_1.png,"톳, 톳 무침양념 설탕, 재료 현미, 참깨, 밥 밑간 참기름, 생김, 달걀, 식초","1. 현미로 밥을 지은 뒤 밥 밑간을 넣고
섞는다. 
2. 톳에 톳 무침양념을 넣고 버무린다. 
3. 밥에 톳을 넣고 버무린다. 
4. 밥을 먹기 좋은 크기로 둥글게 뭉친
뒤 부순 생김을 골고루 묻힌다. 
5. 주먹밥에 달걀물을 입힌 뒤 팬에
구워 마무리한다.               "
깐풍주먹밥,볶기,밥,,536.3,37.6,7.15,7.44,111,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00222_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00222_1.png,"다진 붉은 고추, 소스 다진 마늘, 재료 칵테일새우, 다진 쇠고기, 설탕, 찹쌀현미밥, 후춧가루, 다진 풋고추, 참기름, 함초가루, 밀가루, 식초, 파인애플, 부추","1. 칵테일새우는 잘게 다진다. 
2. 다진 쇠고기에 후춧가루와
참기름(3g)으로 밑간한 후 볶는다. 
3. 찹쌀현미밥에 참기름(4g)을 넣어
밑간하고 식힌 후 새우와 쇠고기를
넣어 뭉쳐준다. 
4. 마늘과 고추는 볶다가 식초와
함초가루, 설탕, 물(30g)을 넣고 졸여
소스를 만든다. 
5. 밀가루는 반죽한 뒤 얇게 밀어
삼각형으로 잘라 튀긴 후 기름을
뺀다. 
6. 위에 주먹밥을 올리고 파인애플을
올린 후 소스를 곁들여 마무리한다.              "
닭봉주먹밥,굽기,밥,,553.4,20.5,7.12,6.08,454.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00223_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00223_1.png,"치즈, 꿀, 가지, 소스 레몬즙, 시래기, 양파, 재료 닭봉, 부순 참깨, 우유, 참기름, 주키니호박, 밥, 당근, 단호박, 새싹채소, 새송이버섯, 간장, 마요네즈, 양념 후춧가루","1. 닭봉은 손질한 뒤 후춧가루를
섞은 우유에 담가두었다가 구워
준비한다. 
2. 단호박, 새송이버섯은 구워서
준비한다. 
3. 소스를 만든다. 
4. 가지, 주키니호박, 당근, 양파,
시래기는 잘게 다진 뒤 볶는다. 
5. 볶은 채소와 치즈를 참기름, 간장과
함께 밥에 넣고 섞는다. 
6. 구운 닭봉을 밥으로 감싼 뒤 구운
단호박, 새송이버섯, 새싹채소와
함께 담아 소스를 곁들여
마무리한다.              "
봄주먹밥,끓이기,밥,,252.4,19.63,4.29,2.12,118.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00224_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00224_1.png,"다진 양파, 깻잎, 주먹밥 데친 꼬막살, 고춧가루, 다진 애호박, 송송 썬 붉은 고추, 참기름, 다진 마늘, 낙지 다리, 된장, 두부강된장 참기름, 올리브유, 밥, 미나리, 으깬 두부, 송송 썬 청양고추, 재료 봄동, 참깨, 물, 두릅, 다진 당근","1. 봄동과 깻잎은 데친 뒤 체에 밭쳐
물기를 제거한다. 
2. 데친 꼬막살은 물기를 제거하고
다져 올리브유로 양념한 밥에
참깨와 함께 버무린 후 한입 크기로
주먹밥을 만든다. 
3. 낙지 다리는 데쳐 찬물에 담가 식힌
뒤 참기름(3g)에 양념하고, 두릅은
데쳐 물기를 제거한 뒤 올리브유로
양념한다. 
4. 봄동에 꼬막밥을 넣고 만 뒤
깻잎으로 싸고 데친 미나리로 묶어
봄주먹밥을 만든다. 
5. 냄비에 참기름(10g)을 두르고 양파,
당근, 애호박을 넣고 볶은 뒤 물,
된장, 고춧가루, 다진 마늘, 붉은
고추, 청양고추를 넣고 끓이다가
두부를 넣고 조려 두부강된장을
만든다. 
6. 봄주먹밥에 낙지와 두릅,
두부강된장을 곁들여 마무리한다.              "
깻잎장아찌롤,끓이기,밥,,375.2,18.4,2.6,3.4,750.7,깻잎장아찌,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00225_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00225_1.png,"재료 쌀, 깻잎장아찌, 머스터드소스 설탕, 머스터드소스, 참깨, 허브타르타르드레싱 양파, 삶은 달걀, 밥 밑간 참기름, 물, 김, 새싹, 피클, 마요네즈","1. 쌀을 씻어 밥을 지은 뒤 밥 밑간을
한다. 
2. 양파, 피클, 삶은 달걀은 다진 뒤
마요네즈에 섞어
허브타르타르드레싱을 만든다. 
3. 김 위에 양쪽으로 밥을 펴고
허브타르타르드레싱을 위에
올린 후 만다. 
4. 깻잎장아찌를 바닥에 깔고 말아놓은
롤을 올린 후 한 번 더 만다. 
5. 머스타드소스를 만든다. 
6. 한입 크기로 롤을 썬 뒤 새싹과
소스를 곁들여 마무리한다.              "
참치비빔밥롤,굽기,밥,,468.1,19.83,8.57,2.72,171.7,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00226_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00226_1.png,"올리브유, 재료 멥쌀, 로즈마리, 굵게 다진 사과, 김밥용 김, 고추, 참치, 당근, 가지, 케일, 꿀, 토마토소스 토마토, 완두콩, 달걀, 참치밑간 후춧가루, 주키니호박, 사과드레싱 식초","1. 쌀을 물에 불린 뒤 완두콩을 함께
넣고 밥을 짓는다. 
2. 달걀을 풀어 체에 내린 뒤 지단을
부치면서 반 정도 익었을 때 그 위에
얇게 썬 주키니호박, 당근, 가지를
올려 익힌다. 
3. 참치를 참치밑간에 재운 뒤 겉만
살짝 익힌다. 
4. 김에 밥을 올리고, 뒤집어 참치를
올려 만 뒤 그 위에 지단을 올려
한 번 더 만다. 
5. 사과드레싱을 만들고,
토마토소스 재료를 간 뒤 체에
거른다. 
6. 참치비빔밥롤을 담은 뒤
토마토소스를 곁들이고, 케일에
사과드레싱을 뿌려 마무리한다.              "
새싹참치김밥,끓이기,밥,,319.8,25.9,5.78,2.75,109.3,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00227_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00227_1.png,"설탕, 밥, 소스 저염간장, 새싹채소, 참치, 김, 마요네즈, 달걀, 파인애플, 재료 파프리카","1. 소스를 만든다. 
2. 파프리카와 파인애플을 먹기 좋게
썬다. 
3. 스크램블 에그를 만든다. 
4. 김발 위에 ⅔크기로 자른 김을 놓고
밥을 고루 편 뒤 새싹채소,
스크램블 에그, 파프리카, 기름 뺀
참치, 파인애플을 올리고 소스를
고르게 뿌린다. 
5. 반으로 접어 먹기 좋게 썰어
마무리한다.               "
연어주먹밥튀김,튀기기,밥,,660.2,25.1,6.56,6.75,537.1,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00228_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00228_1.png,"데리야키소스, 올리브유, 밥, 오리엔탈소스 식초, 꿀, 달걀, 빵가루, 간장, 레몬즙, 다진 마늘, 마요네즈, 참깨, 재료 당근, 피망, 식초, 어린잎채소, 통조림 연어, 양파","1. 당근, 피망, 양파를 잘게 다진 뒤
기름에 살짝 볶아 밥에
마요네즈(10g)와 함께 넣어 섞는다. 
2. 통조림 연어는 기름기를 빼고,
식초를 넣은 끓는 물에서 30초 정도
데친다. 
3. 데리야키소스와 마요네즈(10g)에
연어를 넣고 버무려 양념한다. 
4. 밥을 동그랗게 빚은 뒤 가운데에
연어를 넣고 주먹밥을 만든다. 
5. 달걀물과 빵가루를 입혀 160℃로
예열한 기름에 바삭하게 튀긴다. 
6. 연어주먹밥튀김을 담고
어린잎채소를 곁들인 뒤
오리엔탈소스를 곁들여 마무리한다.              "
오징어불고기김밥,끓이기,밥,,452.2,14.5,13.9,3.42,244.4,우둔살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00229_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00229_1.png,"양념 참기름, 밥, 파프리카, 깻잎, 새송이버섯, 당근, 달걀, 재료 오징어 몸통, 고추장, 채 썬 쇠고기, 김, 피망, 매실청","1. 오징어 몸통 안쪽에 칼집을 내고
끓는 물에 데친다. 
2. 파프리카와 당근, 피망은 작게 다져
볶은 뒤 밥에 넣어 섞는다. 
3. 쇠고기는 참기름에 볶는다. 
4. 달걀을 풀어 약한 불로 달군 팬에
부은 뒤 김가루를 뿌려 지단을
부치고, 바닥이 익으면 깻잎과
밥을 올린다. 
5. 데친 오징어, 볶은 쇠고기 순으로
올려 만 뒤 랩으로 싼다. 
6. 고추장과 매실청을 섞은 뒤 팬에
넣고 약한 불에서 끓여 소스를
만들고 한입 크기로 썬 김밥에
구운 버섯을 함께 곁들여
마무리한다.              "
닭가슴살청포묵비빔밥,끓이기,밥,,421.5,28.1,5.19,1.27,104,가슴살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00230_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00230_1.png,"비빔소스 저염간장, 쌀, 소금, 후춧가루, 무순, 마늘, 참기름, 양배추, 닭고기 삶는 재료 된장, 숙주, 달걀지단, 청포묵, 재료 닭가슴살","1. 닭고기 삶는 재료를 물(100g)에 넣어
끓이다가 닭가슴살을 넣고 삶아
한입 크기로 썬다. 
2. 양배추는 곱게 채 썰고, 청포묵은
먹기 좋은 크기로 썬다. 
3. 숙주는 끓는 물에 데쳐 물기를 뺀다 
4. 비빔소스를 만든다. 
5. 쌀에 물을 붓고 밥을 짓는다. 
6. 밥 위에 닭가슴살, 양배추, 청포묵,
숙주, 달걀지단, 무순을 담아
마무리한다.              "
족발수육,끓이기,반찬,,282.2,16.2,22.2,14.3,471.7,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00325_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00325_1.png,"양념족발, 백김치, 백김치 무침양념, 고구마, 가지, 참기름, 통깨, 맥주, 주재료","1. 조미된 족발은 뜨거운 맥주에 데쳐내 기름기를
제거한다. 
2. 고구마는 편으로 썰어 냉수에 헹궈 기름
없는 팬에 구워준다. 
3. 가지는 편으로 썰어서 수분을 제거한다. 
4. 가지는 편으로 썰어 살짝 구워준다. 
5. 백김치는 물에 헹궈서 손으로 꼭 짠 후 송송
썰어서 양념을 해 무쳐준다. 
6. 무쳐준 김치와 함께 구워진 채소와 족발수육을
담아 완성한다.              "
함초떡갈비,굽기,반찬,,254.1,5.7,19.8,16.9,210.5,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00326_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00326_1.png,"설탕, 흰후추, 새송이버섯, 소스, 당근, 함초, 대파, 참기름, 발사믹식초, 다진마늘, 통깨, 함초소금, 샐러리, 갈은 돼지고기, 갈은 소고기, 양파","1. 함초는 송송 다져준다. 
2. 당근, 새송이, 샐러리, 양파를 송송 다져준다. 
3. 볼에 소고기, 돼지고기, 다져 놓은 채소와
다진마늘, 다진대파, 참기름을 넣고 반죽해준다. 
4. 여기에 함초 다진 것을 넣고 다시 반죽해 준다. 
5. 떡갈비 모양으로 만들어준 후 팬에 노릇하게
구워준다. 
6. 소스를 만들어 구워진 떡갈비를 졸여준다.              "
삼색소면,끓이기,일품,,168.1,29.4,8.5,1.8,437.6,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00327_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00327_1.png,"다시마물, 홍고추, 모시조개, 마늘, 국물, 볶은소금, 청주, 가지색 소면 각 씩, 쪽파, 청고추","1. 모시조개는 볶은소금을 넣어서 해감시킨다. 
2. 준비된 다시마물에 준비된 채소의 국물재료를
넣고 국물을 만들어준다. 
3. 만들어진 국물에 모시조개를 넣고 청주를
부어서 국물을 만들어준다. 
4. 쪽파는 송송 다지고 마늘은 곱게 다져주고
청홍고추는 가늘게 채 썰어준다. 
5. 면을 각각 삶아준다. 
6. 삼색 면을 그릇에 담고 만들어진 국물을
부워서 완성한다.              "
돼지수육맑은전골,끓이기,국&찌개,,120.3,9.6,0.6,8.8,147.7,삼겹살,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00328_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00328_1.png,"팽이버섯, 청경채, 육수, 숙주, 겨자, 어간장, 애호박, 통삼겹, 천연다시다, 통후추, 다진대파, 곁들이장, 깨, 된장, 식초, 청양고추, 당근, 배추, 물, 다진마늘","1. 당근, 청경채, 배추, 애호박, 팽이버섯은 먹기
좋은 크기로 잘라준다. 
2. 흑돼지고기, 저염된장, 후추를 넣어서 불순물을
제거하면서 고기를 삶아준다. 
3. 천연다시다로 육수를 만들어 체에 걸러준다. 
4. 손질한 야채들과 청양고추를 잘라 함께 육수에
데쳐 국물에 매운 맛을 낸다. 
5. 곁들이장을 만들어 준다. 
6. 냄비에 데쳐준 채소와 국물을 붓고 고기를
먹기좋게 썰어 소스랑 완성한다.              "
채소비빔밥,끓이기,밥,,303.9,41.2,10.4,10.8,189.2,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00329_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00329_1.png,"다진파, 두부, 두부볶음, 흰후추, 바지락, 다진쇠고기, 물, 오이, 참기름, 당근, 함초, 깻잎, 다진마늘, 표고, 쌀, 애호박, 양파","1. 바지락은 해감을 시켜준 후 물에 넣어 바지락
육수를 만들어준다. 
2. 바지락살은 따로 떼어내어 다진소고기와
다시 다져서 양념해 볶아준다. 
3. 두부는 물기제거를 한 후 함초, 깻잎, 다진양파,
를 넣어 치대어 두부볶음을 만들어준다. 
4. 애호박은 채 썰어주고 양파, 오이, 당근, 표고도
채 썰어 각각 볶아준다. 
5. 볶은 바지락과 쌀을 넣어 밥을 한다. 
6. 몰드에 밥과 각종 채소들을 올려주고 마지막에
두부 스크램블을 올려 밥을 완성한다.              "
열무김치파스타,볶기,일품,,270.4,42.1,6.6,8.4,371,열무김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00330_2.png,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00330_1.png,"청홍고추 각각, 청양고추, 파스타면, 노란 파프리카, 생들기름, 오이, 당근, 통깨, 열무김치, 양파","1. 뜨거운 물에 파스타면을 삶아낸 뒤 물기를
빼준다. 
2. 송송 썬 청양고추를 생들기름에 볶아주다
면을 볶는다. 
3. 볶아준 청양고추에 삶아진 면을 볶아준다. 
4. 열무김치는 송송 썰어서 들기름에 살짝
볶아준다. 
5. 오이는 돌려깎기 해서 채 썰어주고 청고추,
2가지색 파프리카, 당근도 채 썰어 각각 볶아
준다. 
6. 청양고추에 볶아진 파스타면을 볶은 채소와
한 번 더 볶아 완성한다.              "
